Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
" \frac{d\mathbf{L}_i}{dt} = \boldsymbol{\tau}_E + \sum_{i \neq j} \boldsymbol{\tau}_{ij} \,,",Newton's second law of motion (Q3268014),-,-,-,-,-,-,-,global,7638,3807
g,gravitational constant (Q18373),-,-,-,-,-,-,-,global,1973,-1
l,length (Q36253),1,-,1,-,-,-,-,global,1645,-1
G,Gravitational Constant (N/A),-,-,-,-,-,-,-,global,1588,-1
\frac{d^2\mathbf{r}_i}{dt^2} = G\sum_{i\neq j}\frac{m_i m_j}{|\mathbf{r}_j - \mathbf{r}_i|^3} (\mathbf{r}_j - \mathbf{r}_i),Newton's second law of motion (Q3268014),-,-,-,-,-,-,-,global,8094,2252
H,hamiltonian (N/A),1,-,-,-,-,-,-,global,1896,-1
" \frac{d}{d t} \left ( \frac{\partial L}{\partial \mathbf{\dot{q}} } \right ) = \frac{\partial L}{\partial \mathbf{q}} \,, ",Euler-Lagrange equation (N/A),-,-,-,-,-,-,3,global,4106,-1
q,coordinate (N/A),-,-,-,-,-,-,-,global,11661,2846
S,Hamiltonian (N/A),-,-,-,-,-,-,-,global,10841,1868
" - \frac{\partial S(\mathbf{q},t)}{\partial t} = H\left(\mathbf{q}, \mathbf{p}, t \right) \,. ",Hamilton-Jacobi equation (N/A),-,-,-,-,-,-,-,global,12238,1121
E,electric field (N/A),-,9,-,-,-,-,-,global,2250,-1
B,magnetic field (N/A),-,-,-,-,-,-,-,global,1184,-1
"\mathbf{F} = q\left(\mathbf{E} + \mathbf{v} \times \mathbf{B}\right) \,\!",Lorentz force (Q172137),-,-,-,2,-,-,-,global,1866,-1
phi,angle (Q11352),-,3,-,-,-,-,-,global,1358,-1
A,gauge (Q2330873),6,-,-,-,-,-,-,global,6025,-1
L=\tfrac12 m \mathbf{\dot{r}}\cdot\mathbf{\dot{r}}+q\mathbf{A}\cdot\dot{\mathbf{r}}-q\phi,Lagrangian (N/A),-,-,-,-,-,-,-,global,6396,1491
P,momentum (Q41273),8,-,-,-,-,-,-,global,3346,-1
" H = \frac{\left(\mathbf{P} - q \mathbf{A}\right)^2}{2m} + q\phi \,\! ",hamiltonian (N/A),-,-,-,-,-,3,-,global,2764,-1
s,length of path (Q30337841),-,-,1,-,-,-,-,global,3192,-1
x,coordinate (Q12753000),5,-,-,-,-,-,-,global,1902,-1
ds = \sqrt{g_{\alpha\beta} d x^\alpha dx^\beta},line (Q1228250),-,-,-,-,-,8,-,global,2114,-1
