Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
\gamma = \frac{1}{\sqrt{1 - v^2/c^2}}. ,Lorentz factor (N/A),-,-,-,-,-,-,-,global,4816,1785
" \mathbf{p} = \gamma m_0 \mathbf{v}\,,",momentum (Q41273),-,-,-,1,-,1,1,global,1614,-1
" \mathbf{F} = \frac{d \mathbf{p}}{dt}\,.",Newton's second law of motion (Q3268014),-,-,-,-,-,-,-,global,8027,1416
P,momentum (Q41273),8,-,-,-,-,-,-,global,4991,-1
U,velocity (Q11465),-,-,-,-,-,-,-,global,3430,6063
" \mathbf{U} \equiv \frac{d \mathbf{R}}{d \tau} = \gamma \frac{d \mathbf{R}}{dt}\,,",four-velocity (N/A),-,-,-,-,-,-,-,global,7079,1698
"\mathbf{P} = m_0\mathbf{U}\,,",four-momentum (Q1068463),-,-,-,-,-,-,-,global,4854,2082
"\mathbf{P} = \gamma m_0 \left(c,\mathbf{v}\right) = (m c,\mathbf{p})\,.",four-momentum (Q1068463),-,-,-,-,-,-,-,global,4843,4713
E,energy (Q11379),1,4,2,-,-,3,-,global,3128,-1
c,speed of light (Q2111),-,1,2,-,-,-,-,global,2368,-1
"\mathbf{P} = \left(\frac{E}{c}, \mathbf{p}\right)\,.",four-momentum (Q1068463),-,-,-,-,-,-,-,global,15570,1718
"E = pc\,.",relativistic energy-momentum relationship (N/A),-,-,-,-,-,-,-,global,17632,1366
omega,angular velocity (Q161635),-,1,-,-,-,-,-,global,3031,-1
K,wavevector (N/A),-,-,-,-,-,-,-,global,4573,5452
k,wavenumber (Q192510),-,5,1,-,-,-,-,global,1633,-1
"\mathbf{P} = \left(\frac{E}{c},\vec{\mathbf{p}}\right) = \hbar \mathbf{K} = \hbar \left(\frac{\omega}{c},\vec{\mathbf{k}}\right)",energy-momentum relationship (N/A),-,-,-,-,-,-,-,global,7765,2146
 \mathcal{,lagrange (N/A),-,-,-,-,-,4,-,global,2783,-1
T,kinetic energy (Q46276),-,6,-,-,-,-,-,global,3441,-1
V,potential (Q12559031),3,-,-,-,-,-,-,global,2294,-1
" \mathcal{L}  = T-V\,.",lagrange (N/A),-,-,-,-,-,4,-,global,4610,-1
q,coordinates (N/A),-,-,-,-,-,9,-,global,4846,-1
" \frac{d}{d t}\left(\frac{\partial \mathcal{L} }{\partial\dot{q}_j}\right) - \frac{\partial \mathcal{L}}{\partial q_j} = 0\,.",Euler-Lagrange equation (N/A),-,-,-,-,-,-,-,global,7287,7098
H,hamiltonian (N/A),1,-,-,-,-,7,-,global,2342,-1
" \mathcal{H}\left(\mathbf{q},\mathbf{p},t\right) = \mathbf{p}\cdot\dot{\mathbf{q}} - \mathcal{L}\left(\mathbf{q},\dot{\mathbf{q}},t\right)\,,",hamiltonian (N/A),-,-,-,-,-,7,-,global,3884,-1
" \dot{q}_i = \frac{\partial\mathcal{H}}{\partial p_i}\\-\dot{p}_i = \frac{\partial\mathcal{H}}{\partial q_i}\\-\frac{\partial \mathcal{L}}{\partial t} = \frac{d \mathcal{H}}{d t}\,.",momentum (Q41273),-,-,-,-,-,3,-,global,2682,-1
B,magnetic field (N/A),-,-,-,-,-,-,-,global,1625,-1
\mathbf{F} = q(\mathbf{E} + \mathbf{v} \times \mathbf{B}).,electromagnetic force (N/A),-,-,-,-,-,-,-,global,6300,9772
"\mathbf{P} = m\mathbf{\mathbf{v}} + q\mathbf{A}, ",momentum of electron (N/A),-,-,-,-,-,-,3,global,4120,-1
A,gauge (Q2330873),6,-,-,-,-,-,-,global,5079,-1
\mathbf{P} = \gamma m\mathbf{\mathbf{v}} + q\mathbf{A}. ,momentum of electron (N/A),-,-,-,-,-,-,2,global,2541,-1
" \mathbf{g} = \frac{1}{\mu_0 c^2}\mathbf{E}\times\mathbf{B}\,,",momentum (Q41273),-,-,-,-,-,3,-,global,3636,-1
S,Poynting vector (N/A),-,-,-,-,-,-,-,global,7615,6352
g,momentum (Q41273),-,-,-,-,-,3,-,global,2459,-1
