Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
 \mathbf{a}\ \stackrel{\mathrm{def}}{ = }\ \frac {\mathrm{d} \mathbf{v}} {d\mathrm{t}} = \mathbf {\Omega} \times \frac{\mathrm{d} \mathbf{r}(t)}{\mathrm{d}t} = \mathbf{\Omega} \times \left[ \mathbf {\Omega} \times \mathbf{r}(t)\right] \ .,Circular acceleration (N/A),-,-,-,-,-,-,1,global,5238,-1
 |\mathbf{a}| = |\mathbf{r}(t)| \left ( \frac {\mathrm{d} \theta}{\mathrm{d}t} \right) ^2 = r {\omega}^2\ ,acceleration (Q11376),-,-,-,-,-,4,-,global,3409,-1
g,gravitational constant (Q18373),-,-,-,-,-,-,-,global,2155,-1
 |\mathbf{F}_\mathrm{h}| = m |\mathbf{g}| \frac { \mathrm{sin}\ \theta}{ \mathrm {cos}\ \theta} = m|\mathbf{g}| \mathrm{tan}\ \theta \ . ,force (Q11402),-,-,-,-,-,1,-,global,2184,-1
|\mathbf{F}_\mathrm{c}| = m |\mathbf{a}_\mathrm{c}| = \frac{m|\mathbf{v}|^2}{r} \ . ,force (Q11402),-,-,-,-,-,2,-,global,2610,-1
} \mathbf{,velocity (Q11465),-,-,-,-,-,1,-,global,1818,-1
\mathbf{v} = r \frac {\mathrm{d} \mathbf{u}_\mathrm{r}}{\mathrm{d}t} = r \frac {\mathrm{d}}{\mathrm{d}t} \left( \mathrm{cos}\ \theta \ \mathbf{i} + \mathrm{sin}\ \theta \ \mathbf{j}\right),velocity (Q11465),-,-,-,-,-,1,-,global,1630,-1
\mathbf{a} = r \left( \frac {\mathrm{d}\omega}{\mathrm{d}t} \mathbf{u}_\mathrm{\theta} - \omega^2 \mathbf{u}_\mathrm{r} \right) \ . ,acceleration (Q11376),-,-,-,-,-,1,-,global,1834,-1
\mathbf{a}_{\mathrm{r}} = - \omega^{2} r \ \mathbf{u}_\mathrm{r} = - \frac{|\mathbf{v}|^{2}}{r} \ \mathbf{u}_\mathrm{r} \ ,acceleration (Q11376),-,-,-,-,-,1,-,global,1959,-1
rho,distance (Q126017),-,-,-,-,-,-,-,global,4164,6917
u,angle (N/A),-,-,-,-,-,-,-,global,5146,7799
