Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
"F^\mu = mA^\mu \,",relativistic force (N/A),-,-,-,-,-,-,-,global,6771,3230
g,gravitational constant (Q18373),-,-,-,-,-,-,-,global,3374,-1
\vec{F} = m\vec{g},gravitational force (Q11412),-,-,-,-,-,-,-,global,7250,3018
G,gravitational constant (Q18373),-,7,-,-,-,-,-,global,5560,-1
R,mean equatorial radius (N/A),-,-,-,-,-,-,-,global,3051,-1
r,radius (Q173817),2,2,1,-,-,-,-,global,1925,-1
\vec{g}=-\frac{Gm_\oplus}{{R_\oplus}^2} \hat{r},gravitational acceleration (Q30006),-,-,-,-,-,-,-,global,8572,2592
\vec{F}=-\frac{Gm_{1}m_{2}}{r^2} \hat{r},gravitational force (Q11412),-,-,-,-,-,-,-,global,10791,2251
E,electric field (N/A),-,-,-,-,-,-,-,global,5698,7782
q,electric charge (Q1111),-,4,1,-,-,-,-,global,2986,-1
B,Magnetic field (N/A),-,-,-,-,-,-,-,global,6085,1989
I,electric current (N/A),-,-,-,-,-,-,-,global,5758,2454
\vec{F} = q(\vec{E} + \vec{v} \times \vec{B}),electromagnetic force (Q849919),-,-,-,-,-,-,-,global,6242,6431
B = {F \over{I \ell}},magnitude (Q2028919),-,-,-,-,-,2,-,global,2941,-1
0 \le F_{\mathrm{sf}} \le \mu_{\mathrm{sf}} F_\mathrm{N}.,friction (N/A),-,-,-,-,-,3,-,global,2291,-1
"F_{\mathrm{kf}} = \mu_{\mathrm{kf}} F_\mathrm{N},",friction (N/A),-,-,-,-,-,7,-,global,3296,-1
\mu_{\mathrm{kf}},coefficient (Q50700),-,-,-,-,-,2,-,global,3130,-1
Delta,displacement (Q190291),-,-,-,-,-,4,-,global,2512,-1
k,constant (Q188248),2,-,-,-,-,-,-,global,1665,-1
\vec{F}=-k \Delta \vec{x},Hooke's law (Q170282),-,-,-,-,-,-,-,global,7907,3028
V,volume (Q39297),4,2,2,-,-,-,-,global,1858,-1
P,pressure (Q39552),-,2,4,-,-,2,-,global,2591,-1
\frac{\vec{F}}{V} = - \vec{\nabla} P,gradient (N/A),-,-,-,-,-,1,-,global,1880,-1
b,constant (Q188248),1,-,-,-,-,-,-,global,3289,-1
"\vec{F}_\mathrm{d} = - b \vec{v} \,",Stokes' law (Q824561),-,-,-,-,-,-,-,global,6801,4915
sigma,stress (Q206175),-,-,-,-,-,-,-,global,3864,9455
\sigma = \frac{F}{A},stress (Q206175),-,-,-,-,-,-,-,global,7295,8336
tau,torque (Q48103),-,-,-,-,-,4,-,global,3650,-1
alpha,angular acceleration (Q186300),-,-,-,-,-,-,-,global,1998,-1
\vec{\tau} = I\vec{\alpha},torque (Q48103),-,-,-,-,-,8,-,global,3020,-1
\vec{\tau} = \vec{r} \times \vec{F},torque (Q48103),-,-,-,-,-,4,-,global,2217,-1
"\vec{\tau} = \frac{\mathrm{d}\vec{L}}{\mathrm{dt}},",torque (N/A),-,-,-,-,-,-,-,global,6436,5106
\vec{F} = - \frac{mv^2 \hat{r}}{r},centripetal force (Q172881),-,-,-,-,-,-,-,global,5524,3685
J,impulse (N/A),-,-,-,-,-,-,-,global,4390,6350
W,work (Q42213),-,4,-,-,-,3,-,global,2050,-1
"W=\int_{\vec{x}_1}^{\vec{x}_2}{\vec{F} \cdot{\mathrm{d}\vec{x}}},",work (Q42213),-,-,-,-,-,3,-,global,2891,-1
{\vec{v}\text{ }=\text{ d}\vec{x}/\text{d}t},velocity (Q11465),-,-,-,-,-,1,-,global,3723,-1
\vec{F}=-\vec{\nabla} U.,gradient (N/A),-,-,-,-,-,3,-,global,2565,-1
U,potential energy (N/A),-,-,-,-,-,-,-,global,1747,-1
\vec{F}_g = - \frac{G m_1 m_2}{r^2} \hat{r},gravitational force (Q11412),-,-,-,-,-,-,-,global,6051,3962
\vec{F}_e = \frac{q_1 q_2}{4 \pi \epsilon_{0} r^2} \hat{r},electrostatic force (Q103438301),-,-,-,-,-,-,-,global,6100,3910
epsilon,permittivity (Q211569),-,-,-,-,-,3,-,global,2554,-1
\vec{F}_s = - k r \hat{r},Hooke's law (Q170282),-,-,-,-,-,-,-,global,9692,1802
